num, permutation, resultat, departements, valides, creuse, adjacents, tripoint
596,11577072,3859024,03-85-90-24,True,False,0,
597,11577207,3859069,03-85-90-69,True,False,0,
598,11577270,3859090,03-85-90-90,False,False,0,
599,11577702,3859234,03-85-92-34,True,False,0,
600,11577720,3859240,03-85-92-40,True,False,0,
601,11702577,3900859,03-90-08-59,True,False,1,
602,11702757,3900919,03-90-09-19,True,False,0,
603,11702775,3900925,03-90-09-25,True,False,1,
604,11705277,3901759,03-90-17-59,True,False,0,
605,11705727,3901909,03-90-19-09,True,False,0,
606,11705772,3901924,03-90-19-24,True,False,1,
607,11707257,3902419,03-90-24-19,True,False,1,
608,11707275,3902425,03-90-24-25,True,False,1,
609,11707527,3902509,03-90-25-09,True,False,1,
610,11707572,3902524,03-90-25-24,True,False,1,
611,11707725,3902575,03-90-25-75,True,False,1,
612,11707752,3902584,03-90-25-84,True,False,1,
613,11720577,3906859,03-90-68-59,True,False,1,
614,11720757,3906919,03-90-69-19,True,False,0,
615,11720775,3906925,03-90-69-25,True,False,1,
616,11725077,3908359,03-90-83-59,True,False,0,
617,11725707,3908569,03-90-85-69,True,False,0,
618,11725770,3908590,03-90-85-90,False,False,0,
619,11727057,3909019,03-90-90-19,False,False,0,
620,11727075,3909025,03-90-90-25,False,False,0,
621,11727507,3909169,03-90-91-69,True,False,0,
622,11727570,3909190,03-90-91-90,False,False,0,
623,11727705,3909235,03-90-92-35,True,False,0,
624,11727750,3909250,03-90-92-50,True,False,0,
625,11750277,3916759,03-91-67-59,True,False,0,
626,11750727,3916909,03-91-69-09,True,False,0,
627,11750772,3916924,03-91-69-24,True,False,0,
628,11752077,3917359,03-91-73-59,True,False,0,
629,11752707,3917569,03-91-75-69,True,False,0,
630,11752770,3917590,03-91-75-90,True,False,0,
631,11757027,3919009,03-91-90-09,True,False,0,
632,11757072,3919024,03-91-90-24,True,False,0,
633,11757207,3919069,03-91-90-69,True,False,0,
634,11757270,3919090,03-91-90-90,False,False,0,
635,11757702,3919234,03-91-92-34,True,False,1,
636,11757720,3919240,03-91-92-40,True,False,1,
637,11770257,3923419,03-92-34-19,True,False,0,
638,11770275,3923425,03-92-34-25,True,False,0,
639,11770527,3923509,03-92-35-09,True,False,0,
640,11770572,3923524,03-92-35-24,True,False,0,
641,11770725,3923575,03-92-35-75,True,False,1,
642,11770752,3923584,03-92-35-84,True,False,0,
643,11772057,3924019,03-92-40-19,True,False,0,
644,11772075,3924025,03-92-40-25,True,False,0,
645,11772507,3924169,03-92-41-69,True,False,0,
646,11772570,3924190,03-92-41-90,True,False,0,
647,11772705,3924235,03-92-42-35,True,False,1,
648,11772750,3924250,03-92-42-50,True,False,1,
649,11775027,3925009,03-92-50-09,True,False,0,
650,11775072,3925024,03-92-50-24,True,False,0,
651,11775207,3925069,03-92-50-69,True,False,0,
652,11775270,3925090,03-92-50-90,True,False,0,
653,11775702,3925234,03-92-52-34,True,False,0,
654,11775720,3925240,03-92-52-40,True,False,0,
655,11777025,3925675,03-92-56-75,True,False,1,
656,11777052,3925684,03-92-56-84,True,False,0,
657,11777205,3925735,03-92-57-35,True,False,0,
658,11777250,3925750,03-92-57-50,True,False,0,
659,11777502,3925834,03-92-58-34,True,False,1,
660,11777520,3925840,03-92-58-40,True,False,1,
661,12015777,4005259,04-00-52-59,False,False,0,
662,12017577,4005859,04-00-58-59,False,False,0,
